left,оставил
top,Вверх
"Show/hide CSS selectors","Показать / скрыть селекторы CSS"
"Swissup Themes Editor","Swissup Themes Editor"
"Argento Essence","Argento Essence"
Buttons,Кнопки
"Primary Buttons","Основные кнопки"
Background,Фон
"Font Color","Цвет шрифта"
"Hover State Background","Состояние при наведении"
"Hover State Font Color","Цвет шрифта при наведении курсора"
"Other Buttons","Другие кнопки"
"Hover Background","Фон наведения"
"Hover Font Color","Цвет шрифта при наведении"
Fonts,шрифты
"Font Family","Семейство шрифтов"
Color,цвет
"Product name link in listing","Ссылка на название продукта в листинге"
"Hover Color","Цвет наведения"
"Top toolbar container","Контейнер верхней панели инструментов"
Repeat,Повторение
"Text Color","Цвет текста"
"Links Color","Цвет ссылок"
"Bottom toolbar container","Контейнер нижней панели инструментов"
"Additional css","Дополнительный CSS"
"Css styles","CSS стили"
"Cart counter background color","Цвет фона счетчика корзины"
Navigation,навигация
"Menu item dividers","Разделители пунктов меню"
"Left divider","Левый делитель"
"Right divider","Правый разделитель"
"Top level links","Ссылки верхнего уровня"
"Font Size","Размер шрифта"
"Text transform","Преобразование текста"
"Hover state font color","Цвет шрифта при наведении курсора"
"Active state font color","Цвет шрифта в активном состоянии"
"Top level arrows","Стрелки верхнего уровня"
"Links from the rest of the levels","Ссылки с остальных уровней"
"Background color","Фоновый цвет"
"Hover state background color","Цвет фона при наведении курсора"
"Active state background color","Цвет фона активного состояния"
"Rest of the levels arrows","Остальные уровни стрелки"
"Body background","Тело фон"
"Page wrapper","Обертка страницы"
Max-width,"Максимальная ширина"
"Content wrapper",Контент-оболочка
"Product and Homepage Tabs","Вкладки продукта и домашней страницы"
Padding,набивка
Font-family,"Семейство шрифтов"
"Font size","Размер шрифта"
"Font weight","Вес шрифта"
transform,преобразование
"Background Color","Фоновый цвет"
"Font color","Цвет шрифта"
"Border color","Цвет границы"
"Hover state","Состояние наведения"
"Active state","Активное состояние"
"Argento Luxury","Ардженто Люкс"
"Border Color","Цвет границы"
"Hover State Border Color","Hover State Border Color"
"Titles Color","Цвет заголовков"
"Border bottom","Граница дна"
Shadow,Тень
"Enable Fullscreen Slider","Включить полноэкранный слайдер"
"Homepage logo","Домашняя страница логотип"
"Argento Pure2","Argento Pure2"
"Inverted Primary Buttons (Add to Cart, Checkout)","Перевернутые первичные кнопки (добавить в корзину, оформить заказ)"
"Argento Flat","Ардженто Флэт"
"Argento Mall","Ардженто Молл"
"Header background color","Цвет фона заголовка"
"Product Tabs","Вкладки продукта"
"Argento Stripes","Argento Stripes"
"""Add to Wish List"" and ""Add to Compate"" buttons","Кнопки «Добавить в список желаний» и «Добавить в Compate»"
"Hover State Background Color","Цвет фона при наведении курсора"
"Final price in listing and on product page","Окончательная цена в листинге и на странице товара"
"Links separator color","Цвет разделителя ссылок"
"Enable sticky menu","Включить липкое меню"
"Header background","Фон заголовка"
"Header top panel","Верхняя панель заголовка"
"Text color","Цвет текста"
"Border bottom width","Ширина нижней границы"
"Border bottom style","Стиль нижней границы"
"Border bottom color","Цвет нижней границы"
"Arrow color","Цвет стрелки"
"Top level ""Departments"" link","Верхний уровень ""Отделы"" ссылка"
"Background image","Фоновая картинка"
"Background repeat","Повторение фона"
"Background position","Фоновая позиция"
"Hover state arrow color","Цвет стрелки при наведении"
"Active state arrow color","Цвет стрелки активного состояния"
"""Departments"" direct children links","""Отделы"" прямые детские ссылки"
"Search button","Кнопка поиска"
"Minicart button","Кнопка миникарты"
"My Account button","Кнопка Моя учетная запись"
"Alternative Logo Image","Альтернативное изображение логотипа"
"This logo is used in some Argento themes","Этот логотип используется в некоторых темах Argento"
"Property $themeCode must be specified.","Свойство $themeCode должно быть указано."
"Theme Defined","Тема определена"
"Full width","Полная ширина"
"Limited width","Ограниченная ширина"
"One column","Один столбец"
"Two columns (left sidebar)","Две колонки (левая боковая панель)"
"Two columns (right sidebar)","Две колонки (правая боковая панель)"
"Three columns","Три колонны"
"Category Page","Страница категории"
"Preview page layout","Предварительный макет страницы"
"Content width","Ширина содержимого"
"Max width","Максимальная ширина"
"Products list mode","Режим списка товаров"
"Grid Mode","Режим сетки"
"Products per Page Allowed Values","Продукты на странице Допустимые значения"
"Products per Page Default Value","Продукты на странице Значение по умолчанию"
"Must be in the allowed values list","Должен быть в списке разрешенных значений"
"Columns per Row","Столбцы в строке"
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Essence it is ""-1"".","<b> Минимальная ширина </ b> - минимальная ширина экрана, к которому должен применяться номер столбцов. <br /> <b> Столбцы </ b> - количество столбцов само по себе. <br /> <b> Интервал </ b > - расстояние между ячейками в сетке. Для сущности это ""-1""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Flat it is ""15"".","<b> Минимальная ширина </ b> - минимальная ширина экрана, к которому должен применяться номер столбцов. <br /> <b> Столбцы </ b> - количество столбцов само по себе. <br /> <b> Интервал </ b > - расстояние между ячейками в сетке. Для Флэт это ""15""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Force it is ""6"".","<b> Минимальная ширина </ b> - минимальная ширина экрана, к которому должен применяться номер столбцов. <br /> <b> Столбцы </ b> - количество столбцов само по себе. <br /> <b> Интервал </ b > - расстояние между ячейками в сетке. Для Силы это «6»."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Luxury it is ""6"".","<b> Минимальная ширина </ b> - минимальная ширина экрана, к которому должен применяться номер столбцов. <br /> <b> Столбцы </ b> - количество столбцов само по себе. <br /> <b> Интервал </ b > - расстояние между ячейками в сетке. Для роскоши это «6»."
