left,اليسار
top,أعلى
"Show/hide CSS selectors","إظهار / إخفاء محددات CSS"
"Swissup Themes Editor","محرر مواضيع Swissup"
"Argento Essence","أرجينتو إيسينس"
Buttons,أزرار
"Primary Buttons","الأزرار الأساسية"
Background,خلفية
"Font Color","لون الخط"
"Hover State Background","خلفية حالة تحوم"
"Hover State Font Color","لون خط حالة التحويم"
"Other Buttons","أزرار أخرى"
"Hover Background","تحوم الخلفية"
"Hover Font Color","لون خط التحويم"
Fonts,الخطوط
"Font Family","خط العائلة"
Color,اللون
"Product name link in listing","رابط اسم المنتج في القائمة"
"Hover Color","تحوم اللون"
"Top toolbar container","حاوية شريط الأدوات العلوي"
Repeat,كرر
"Text Color","لون الخط"
"Links Color","لون الروابط"
"Bottom toolbar container","حاوية شريط الأدوات السفلي"
"Additional css","Css إضافية"
"Css styles","أنماط Css"
"Cart counter background color","لون خلفية عربة التسوق"
Navigation,التنقل
"Menu item dividers","فواصل عناصر القائمة"
"Left divider","مقسم أيسر"
"Right divider","مقسم أيمن"
"Top level links","روابط المستوى الأعلى"
"Font Size","حجم الخط"
"Text transform","تحويل النص"
"Hover state font color","لون خط حالة التمرير"
"Active state font color","لون خط الحالة النشطة"
"Top level arrows","سهام المستوى الأعلى"
"Links from the rest of the levels","روابط من بقية المستويات"
"Background color","لون الخلفية"
"Hover state background color","لون خلفية حالة التمرير"
"Active state background color","لون خلفية الحالة النشطة"
"Rest of the levels arrows","بقية سهام المستويات"
"Body background","خلفية الجسم"
"Page wrapper","برنامج تضمين الصفحة"
Max-width,"أقصى عرض"
"Content wrapper","مجمع المحتوى"
"Product and Homepage Tabs","علامات تبويب المنتج والصفحة الرئيسية"
Padding,حشوة
Font-family,"خط العائلة"
"Font size","حجم الخط"
"Font weight","وزن الخط"
transform,تحول
"Background Color","لون الخلفية"
"Font color","لون الخط"
"Border color","لون الحدود"
"Hover state","حالة تحوم"
"Active state","حالة نشطة"
"Argento Luxury","أرجينتو لكجري"
"Border Color","لون الحدود"
"Hover State Border Color","لون حدود حالة التحويم"
"Titles Color","لون العناوين"
"Border bottom","أسفل الحدود"
Shadow,ظل
"Enable Fullscreen Slider","تمكين شريط التمرير ملء الشاشة"
"Homepage logo","شعار الصفحة الرئيسية"
"Argento Pure2","أرجينتو بيور 2"
"Inverted Primary Buttons (Add to Cart, Checkout)","الأزرار الأساسية المعكوسة (إضافة إلى سلة التسوق ، الدفع)"
"Argento Flat","أرجينتو فلات"
"Argento Mall","ارجنتو مول"
"Header background color","لون خلفية الرأس"
"Product Tabs","علامات المنتج"
"Argento Stripes","أرجينتو سترايبس"
"""Add to Wish List"" and ""Add to Compate"" buttons","أزرار ""إضافة إلى قائمة الرغبات"" و ""إضافة إلى حساب"""
"Hover State Background Color","لون خلفية حالة التحويم"
"Final price in listing and on product page","السعر النهائي في القائمة وعلى صفحة المنتج"
"Links separator color","لون فاصل الروابط"
"Enable sticky menu","تمكين القائمة الثابتة"
"Header background","خلفية العنوان"
"Header top panel","اللوحة العلوية للرأس"
"Text color","لون الخط"
"Border bottom width","عرض القاع الحدودي"
"Border bottom style","نمط أسفل الحدود"
"Border bottom color","لون أسفل الحدود"
"Arrow color","لون السهم"
"Top level ""Departments"" link","رابط ""أقسام"" من المستوى الأعلى"
"Background image","الصورة الخلفية"
"Background repeat","تكرار الخلفية"
"Background position","موضع الخلفية"
"Hover state arrow color","لون سهم حالة التمرير"
"Active state arrow color","لون سهم الحالة النشطة"
"""Departments"" direct children links","روابط ""الأقسام"" للأطفال"
"Search button","زر البحث"
"Minicart button","زر Minicart"
"My Account button","زر حسابي"
"Alternative Logo Image","صورة شعار بديلة"
"This logo is used in some Argento themes","يستخدم هذا الشعار في بعض سمات الأرجنتو"
"Property $themeCode must be specified.","يجب تحديد خاصية $themeCode."
"Theme Defined","تعريف السمة"
"Full width","العرض الكامل"
"Limited width","عرض محدود"
"One column","عمود واحد"
"Two columns (left sidebar)","عمودين (الشريط الجانبي الأيسر)"
"Two columns (right sidebar)","عمودين (الشريط الجانبي الأيمن)"
"Three columns","ثلاثة أعمدة"
"Category Page","صفحة الفئة"
"Preview page layout","تخطيط صفحة المعاينة"
"Content width","عرض المحتوى"
"Max width","أقصى عرض"
"Products list mode","وضع قائمة المنتجات"
"Grid Mode","وضع الشبكة"
"Products per Page Allowed Values","المنتجات المسموح بها لكل صفحة"
"Products per Page Default Value","منتجات القيمة الافتراضية للصفحة"
"Must be in the allowed values list","يجب أن يكون في قائمة القيم المسموح بها"
"Columns per Row","أعمدة لكل صف"
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Essence it is ""-1"".","<b> الحد الأدنى للعرض </ b> - الحد الأدنى لعرض الشاشة حيث يجب تطبيق رقم الأعمدة. <br /> <b> الأعمدة </ b> - الأعمدة تحسب نفسها. <br /> <b> التباعد </ b > - التباعد بين الخلايا في الشبكة. ل Essence هو ""-1""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Flat it is ""15"".","<b> الحد الأدنى للعرض </ b> - الحد الأدنى لعرض الشاشة حيث يجب تطبيق رقم الأعمدة. <br /> <b> الأعمدة </ b> - الأعمدة تحسب نفسها. <br /> <b> التباعد </ b > - التباعد بين الخلايا في الشبكة. للشقة هو ""15""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Force it is ""6"".","<b> الحد الأدنى للعرض </ b> - الحد الأدنى لعرض الشاشة حيث يجب تطبيق رقم الأعمدة. <br /> <b> الأعمدة </ b> - الأعمدة تحسب نفسها. <br /> <b> التباعد </ b > - التباعد بين الخلايا في الشبكة. للقوة هو ""6""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Luxury it is ""6"".","<b> الحد الأدنى للعرض </ b> - الحد الأدنى لعرض الشاشة حيث يجب تطبيق رقم الأعمدة. <br /> <b> الأعمدة </ b> - الأعمدة تحسب نفسها. <br /> <b> التباعد </ b > - التباعد بين الخلايا في الشبكة. للرفاهية هو ""6""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Mall it is ""-1"".","<b> الحد الأدنى للعرض </ b> - الحد الأدنى لعرض الشاشة حيث يجب تطبيق رقم الأعمدة. <br /> <b> الأعمدة </ b> - الأعمدة تحسب نفسها. <br /> <b> التباعد </ b > - التباعد بين الخلايا في الشبكة. للمول هو ""-1""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Pure2 it is ""-1"".","<b> الحد الأدنى للعرض </ b> - الحد الأدنى لعرض الشاشة حيث يجب تطبيق رقم الأعمدة. <br /> <b> الأعمدة </ b> - الأعمدة تحسب نفسها. <br /> <b> التباعد </ b > - التباعد بين الخلايا في الشبكة. لـ Pure2 هو ""-1""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Stripes it is ""-1"".","<b> الحد الأدنى للعرض </ b> - الحد الأدنى لعرض الشاشة حيث يجب تطبيق رقم الأعمدة. <br /> <b> الأعمدة </ b> - الأعمدة تحسب نفسها. <br /> <b> التباعد </ b > - التباعد بين الخلايا في الشبكة. بالنسبة للخطوط ، تكون ""-1""."
"List Mode","وضع القائمة"
"Product Page","صفحة المنتج"
"On a left side you can see simple page layout. Change config option and you'll see its effect there.","على الجانب الأيسر ، يمكنك رؤية تخطيط صفحة بسيط. تغيير خيار التكوين وسترى تأثيره هناك."
"Media block width, %","عرض كتلة الوسائط ،٪"
"Info Main block width, %","عرض الكتلة الرئيسية للمعلومات ،٪"
"Width in percents for product info main block.","العرض بالنسبة المئوية للكتلة الرئيسية لمعلومات المنتج."
"Thumbnails Type","نوع الصور المصغرة"
"It duplicates <a href=""section/lightboxpro/#lightboxpro_general"">Lightbox Pro config</a>.","إنه يكرر <a href=""section/lightboxpro/#lightboxpro_general""> تهيئة Lightbox Pro </a>."
"To Cart Form","إلى نموذج سلة التسوق"
Tabs,"نوافذ التبويب"
"It duplicates <a href=""section/swissup_easytabs/"">Easytabs config</a>.","يكرر <a href=""section/swissup_easytabs/""> Easytabs config </a>."
"Photo in description tab","صورة في علامة تبويب الوصف"
"Sticky add to cart","أضف إلى عربة التسوق"
"Min width, px","الحد الأدنى للعرض ، بكسل"
Columns,الأعمدة
"Spacing, px","التباعد ، بكسل"
