left,왼쪽
top,상단
"Show/hide CSS selectors","CSS 선택기 표시 / 숨기기"
"Swissup Themes Editor","Swissup 테마 편집기"
"Argento Essence","아르젠토 에센스"
Buttons,버튼
"Primary Buttons","기본 버튼"
Background,배경
"Font Color","폰트 색깔"
"Hover State Background","호버 주 배경"
"Hover State Font Color","호버 상태 글꼴 색상"
"Other Buttons","다른 버튼"
"Hover Background","호버 배경"
"Hover Font Color","호버 글꼴 색상"
Fonts,폰트
"Font Family","폰트 패밀리"
Color,색깔
"Product name link in listing","목록의 제품 이름 링크"
"Hover Color","호버 색상"
"Top toolbar container","상단 툴바 컨테이너"
Repeat,반복
"Text Color","글자 색"
"Links Color","링크 색상"
"Bottom toolbar container","하단 툴바 컨테이너"
"Additional css","추가 CSS"
"Css styles","CSS 스타일"
"Cart counter background color","카트 카운터 배경색"
Navigation,항해
"Menu item dividers","메뉴 항목 구분선"
"Left divider","왼쪽 분배기"
"Right divider","오른쪽 분배기"
"Top level links","최상위 링크"
"Font Size","폰트 크기"
"Text transform","텍스트 변환"
"Hover state font color","호버 상태 글꼴 색상"
"Active state font color","활성 상태 글꼴 색상"
"Top level arrows","최상위 화살표"
"Links from the rest of the levels","나머지 레벨의 링크"
"Background color",배경색
"Hover state background color","호버 상태 배경색"
"Active state background color","활성 상태 배경색"
"Rest of the levels arrows","나머지 레벨 화살표"
"Body background","몸 배경"
"Page wrapper","페이지 랩퍼"
Max-width,"최대 폭"
"Content wrapper","내용 포장지"
"Product and Homepage Tabs","제품 및 홈페이지 탭"
Padding,심
Font-family,"폰트 패밀리"
"Font size","폰트 사이즈"
"Font weight","폰트 무게"
transform,변환
"Background Color",배경색
"Font color","폰트 색깔"
"Border color","테두리 색"
"Hover state","호버 상태"
"Active state","활성 상태"
"Argento Luxury","아르젠토 럭셔리"
"Border Color","테두리 색"
"Hover State Border Color","호버 주 경계 색상"
"Titles Color","타이틀 색상"
"Border bottom","테두리 하단"
Shadow,그림자
"Enable Fullscreen Slider","전체 화면 슬라이더 사용"
"Homepage logo","홈페이지 로고"
"Argento Pure2","아르젠토 퓨어 2"
