left,links
top,top
"Show/hide CSS selectors","Toon / verberg CSS-kiezers"
"Swissup Themes Editor","Swissup Thema's Editor"
"Argento Essence","Argento Essence"
Buttons,Toetsen
"Primary Buttons","Primaire knoppen"
Background,Achtergrond
"Font Color","Lettertype kleur"
"Hover State Background","Hover State Achtergrond"
"Hover State Font Color","Hover State Font Color"
"Other Buttons","Andere knoppen"
"Hover Background","Hover achtergrond"
"Hover Font Color","Tekstkleur zweven"
Fonts,Lettertypen
"Font Family",Lettertypefamilie
Color,Kleur
"Product name link in listing","Productnaam link in aanbieding"
"Hover Color","Hover Color"
"Top toolbar container","Bovenste werkbalkcontainer"
Repeat,Herhaling
"Text Color","Tekst kleur"
"Links Color","Links kleur"
"Bottom toolbar container","Onderste werkbalkcontainer"
"Additional css","Extra css"
"Css styles",CSS-stijlen
"Cart counter background color","Achtergrondkleur winkelwagen teller"
Navigation,Navigatie
"Menu item dividers","Menu-item verdelers"
"Left divider","Linker verdeler"
"Right divider","Rechter scheidingslijn"
"Top level links","Links op het hoogste niveau"
"Font Size",Lettertypegrootte
"Text transform",Teksttransformatie
"Hover state font color","Tekstkleur zweefstand"
"Active state font color","Lettertype actieve status"
"Top level arrows","Pijlen op het hoogste niveau"
"Links from the rest of the levels","Links van de rest van de levels"
"Background color","Achtergrond kleur"
"Hover state background color","Achtergrondkleur zweeftoestand"
"Active state background color","Achtergrondkleur actieve toestand"
"Rest of the levels arrows","Rest van de niveauspijlen"
"Body background","Body achtergrond"
"Page wrapper",Paginaomslag
Max-width,"Maximale wijdte"
"Content wrapper","Content wrapper"
"Product and Homepage Tabs","Product- en startpagina-tabbladen"
Padding,Vulling
Font-family,Font-familie
"Font size",Lettertypegrootte
"Font weight","Lettertype dikte"
transform,transformeren
"Background Color","Achtergrond kleur"
"Font color",Letterkleur
"Border color","Rand kleur"
"Hover state","Hover staat"
"Active state","Actieve staat"
"Argento Luxury","Argento Luxe"
"Border Color","Rand kleur"
"Hover State Border Color","Hover State Border Color"
"Titles Color","Titels kleur"
"Border bottom","Rand onderaan"
Shadow,Schaduw
"Enable Fullscreen Slider","Schakel Fullscreen Slider in"
"Homepage logo","Logo van de homepage"
"Argento Pure2","Argento Pure2"
"Inverted Primary Buttons (Add to Cart, Checkout)","Omgekeerde primaire knoppen (toevoegen aan winkelwagen, afrekenen)"
"Argento Flat","Argento Flat"
"Argento Mall","Argento Mall"
"Header background color","Achtergrondkleur koptekst"
"Product Tabs",Producttabbladen
"Argento Stripes","Argento Stripes"
"""Add to Wish List"" and ""Add to Compate"" buttons","""Toevoegen aan verlanglijstje"" en ""Toevoegen aan Compate"" knoppen"
"Hover State Background Color","Achtergrondkleur zweeftoestand"
"Final price in listing and on product page","Eindprijs in aanbieding en op productpagina"
"Links separator color","Scheidingskleur koppelingen"
