left,izquierda
top,"parte superior"
"Show/hide CSS selectors","Mostrar / ocultar selectores CSS"
"Swissup Themes Editor","Swissup Themes Editor"
"Argento Essence","Esencia Argento"
Buttons,Botones
"Primary Buttons","Botones primarios"
Background,Antecedentes
"Font Color","Color de fuente"
"Hover State Background","Fondo de estado de desplazamiento"
"Hover State Font Color","Color de fuente de estado de desplazamiento"
"Other Buttons","Otros botones"
"Hover Background","Fondo flotante"
"Hover Font Color","Pase el color de fuente"
Fonts,Fuentes
"Font Family","Familia tipográfica"
Color,Color
"Product name link in listing","Enlace del nombre del producto en el listado"
"Hover Color","Color de libración"
"Top toolbar container","Contenedor de barra de herramientas superior"
Repeat,Repetir
"Text Color","Color de texto"
"Links Color","Color de enlaces"
"Bottom toolbar container","Contenedor de barra de herramientas inferior"
"Additional css","CSS adicional"
"Css styles","Estilos CSS"
"Cart counter background color","Color de fondo del mostrador del carrito"
Navigation,Navegación
"Menu item dividers","Divisores de elementos de menú"
"Left divider","Divisor izquierdo"
"Right divider","Divisor derecho"
"Top level links","Enlaces de nivel superior"
"Font Size","Tamaño de fuente"
"Text transform","Transformación de texto"
"Hover state font color","Color de fuente del estado de desplazamiento"
"Active state font color","Color de fuente de estado activo"
"Top level arrows","Flechas de nivel superior"
"Links from the rest of the levels","Enlaces del resto de los niveles."
"Background color","Color de fondo"
"Hover state background color","Color de fondo del estado de desplazamiento"
"Active state background color","Color de fondo del estado activo"
"Rest of the levels arrows","Resto de las flechas de niveles"
"Body background","Fondo del cuerpo"
"Page wrapper","Envoltura de página"
Max-width,"Anchura máxima"
"Content wrapper","Contenedor de contenido"
"Product and Homepage Tabs","Pestañas de producto y página de inicio"
Padding,Relleno
Font-family,"Familia tipográfica"
"Font size","Tamaño de fuente"
"Font weight","Peso de la fuente"
transform,transformar
"Background Color","Color de fondo"
"Font color","Color de fuente"
"Border color","Color del borde"
"Hover state","Estado de desplazamiento"
"Active state","Estado activo"
